nnv_id,nnv_date,nnv_district,congressional_id
ny.uscongress2.1789,1789,2,36001002002
ny.uscongress1.1789,1789,1,36001002001
ny.uscongress4.1789,1789,4,36001002004
ny.uscongress6.1789,1789,6,36001002006
ny.uscongress5.1789,1789,5,36001002005
ny.uscongress3.1789,1789,3,36001002003
ny.uscongress5.1790,1790,5,36001002005
ny.uscongress4.1790,1790,4,36001002004
ny.uscongress2.1790,1790,2,36001002002
ny.uscongress1.1790,1790,1,36001002001
ny.uscongress3.1790,1790,3,36001002003
ny.uscongress6.1790,1790,6,36001002006
ny.uscongressspecial.1791,1791,1,36001002001
ny.uscongress3.1793,1793,3,36003005003
ny.uscongress10.1793,1793,10,36003005010
ny.uscongress9.1793,1793,9,36003005009
ny.uscongress6.1793,1793,6,36003005006
ny.uscongress2.1793,1793,2,36003005002
ny.uscongress1.1793,1793,1,36003005001
ny.uscongress4.1793,1793,4,36003005004
ny.uscongress8.1793,1793,8,36003005008
ny.uscongress7.1793,1793,7,36003005007
ny.uscongress5.1793,1793,5,36003005005
ny.uscongress9.1794,1794,9,36003005009
ny.uscongress4.1794,1794,4,36003005004
ny.uscongress6.1794,1794,6,36003005006
ny.uscongress10.1794,1794,10,36003005010
ny.uscongress3.1794,1794,3,36003005003
ny.uscongress7.1794,1794,7,36003005007
ny.uscongress5.1794,1794,5,36003005005
ny.uscongress2.1794,1794,2,36003005002
ny.uscongress1.1794,1794,1,36003005001
ny.uscongress8.1794,1794,8,36003005008
ny.uscongress4.1796,1796,4,36003005004
ny.uscongress6.1796,1796,6,36003005006
ny.uscongress8.1796,1796,8,36003005008
ny.uscongress7.1796,1796,7,36003005007
ny.uscongress2.1796,1796,2,36003005002
ny.uscongress3.1796,1796,3,36003005003
ny.uscongress10.1796,1796,10,36003005010
ny.uscongress9.1796,1796,9,36003005009
ny.uscongress1.1796,1796,1,36003005001
ny.uscongress5.1796,1796,5,36003005005
ny.uscongress7.1798,1798,7,36006007007
ny.uscongress9.1798,1798,9,36006007009
ny.uscongress2.1798,1798,2,36006007002
ny.uscongress10.1798,1798,10,36006007010
ny.uscongress1.1798,1798,1,36006007001
ny.uscongress8.1798,1798,8,36006007008
ny.uscongress5.1798,1798,5,36006007005
ny.uscongress3.1798,1798,3,36006007003
ny.uscongress6.1798,1798,6,36006007006
ny.uscongress4.1798,1798,4,36006007004
ny.uscongress7.1800,1800,7,36006007007
ny.uscongress8.1800,1800,8,36006007008
ny.uscongress1.1800,1800,1,36006007001
ny.uscongress9.1800,1800,9,36006007009
ny.uscongress2.1800,1800,2,36006007002
ny.uscongress3.1800,1800,3,36006007003
ny.uscongress4.1800,1800,5,36006007005
ny.uscongress10.1800,1800,10,36006007010
ny.uscongress16.1802,1802,16,36008008016
ny.uscongress13.1802,1802,13,36008008013
ny.uscongress2.1802,1802,2,36008008002
ny.uscongress10.1802,1802,10,36008008010
ny.uscongress9.1802,1802,9,36008008009
ny.uscongress6.1802,1802,6,36008008006
ny.uscongress11.1802,1802,11,36008008011
ny.uscongress7.1802,1802,7,36008008007
ny.uscongress4.1802,1802,4,36008008004
ny.uscongress12.1802,1802,12,36008008012
ny.uscongress3.1802,1802,3,36008008003
ny.uscongress15.1802,1802,15,36008008015
ny.uscongress1.1802,1802,1,36008008001
ny.uscongress5.1802,1802,5,36008008005
ny.uscongress14.1802,1802,14,36008008014
ny.uscongress17.1802,1802,17,36008008017
ny.uscongress8.1802,1802,8,36008008008
ny.specialuscongress6.1803,1803,6,36008008006
ny.specialuscongress7.1803,1803,7,36008008007
ny.uscongress16.1804,1804,16,36009010016
ny.uscongress17.1804,1804,17,36009010017
ny.uscongress11.1804,1804,11,36009010011
ny.uscongress2and3.1804,1804,2 and 3,36009010002
ny.uscongress1.1804,1804,1,36009010001
ny.uscongress4.1804,1804,4,36009010004
ny.uscongress1.special.1804,1804,1,36009010001
ny.uscongress15.1804,1804,15,36009010015
ny.uscongress13.1804,1804,13,36009010013
ny.uscongress14.1804,1804,14,36009010014
ny.uscongress2and3.special.1805,1805,2 and 3,36009010002
ny.uscongress2and3.special2.1805,1805,2 and 3,36009010002